t	a
0	-1.2966
0.1	1.1210
0.2	-0.5737
0.3	0.4028
0.4	3.3885
0.5	2.5514
0.6	6.3145
0.7	1.8390
0.8	3.5324
0.9	3.9526
1	3.2853
1.1	5.5487
1.2	7.0742
1.3	5.7849
1.4	8.8091
1.5	7.8694
1.6	6.4450
1.7	5.0471
1.8	8.0515
1.9	8.8952
2	8.5001
2.1	5.7717
2.2	9.9426
2.3	10.3611
2.4	8.4521
2.5	8.6241
2.6	9.2821
2.7	9.3083
2.8	14.4651
2.9	15.3352
3	11.4031
3.1	12.5455
3.2	13.6475
3.3	11.0533
3.4	13.1272
3.5	19.0386
3.6	14.6250
3.7	14.7184
3.8	15.4178
3.9	16.0144
4	16.9282
4.1	16.4110
4.2	15.4178
4.3	13.4245
4.4	22.0279
4.5	16.2221
4.6	20.4266
4.7	16.6233
4.8	19.5043
4.9	21.0631
5	19.4129
5.1	19.5708
5.2	19.5505
5.3	22.8243
5.4	22.2403
5.5	21.4119
5.6	19.8163
5.7	25.8497
5.8	26.6412
5.9	23.5339
6	23.8512
6.1	24.8669
6.2	25.2896
6.3	24.5083
6.4	25.6862
6.5	26.0711
6.6	26.0697
6.7	28.9871
6.8	28.6779
6.9	28.4020
7	29.2053
7.1	29.5531
7.2	28.3626
7.3	27.8525
7.4	28.6991
7.5	29.1669
7.6	35.0616
7.7	28.6017
7.8	31.1675
7.9	29.6329
8	30.9385
8.1	30.1047
8.2	26.3611
8.3	33.7668
8.4	33.5838
8.5	33.7164
8.6	33.8120
8.7	33.4005
8.8	29.2040
8.9	37.0621
9	34.7673
9.1	33.7317
9.2	35.2304
9.3	36.6361
9.4	34.2324
9.5	37.4817
9.6	37.2715
9.7	39.4000
9.8	34.9296
9.9	36.4864
10	40.1028
10.1	36.4591
10.2	38.0276
10.3	38.3697
10.4	38.6574
10.5	38.3309
10.6	39.8443
10.7	41.0192
10.8	42.3298
10.9	38.6771
11	43.2566
11.1	40.4707
11.2	40.6612
11.3	43.3035
11.4	40.7257
11.5	39.2990
11.6	39.7668
11.7	39.6652
11.8	42.3187
11.9	44.7609
12	40.0872
12.1	41.0899
12.2	44.2015
12.3	42.4190
12.4	41.9244
12.5	43.9593
12.6	41.0280
12.7	42.2793
12.8	43.7164
12.9	42.6534
13	43.3269
13.1	40.1431
13.2	45.2134
13.3	44.8853
13.4	43.8854
13.5	47.0581
13.6	47.5001
13.7	40.9213
13.8	44.0336
13.9	47.7689
14	46.4194
14.1	42.1161
14.2	48.3183
14.3	46.4400
14.4	45.2413
14.5	45.6550
14.6	44.5170
14.7	45.4835
14.8	44.4417
14.9	45.3479
15	49.4197
15.1	48.0567
15.2	46.7415
15.3	47.8594
15.4	45.6642
15.5	47.5541
15.6	49.0285
15.7	45.0616
15.8	48.0582
15.9	51.0534
16	47.9395
16.1	47.6282
16.2	47.8640
16.3	49.8388
16.4	48.5363
16.5	49.4131
16.6	50.3072
16.7	44.0053
16.8	45.2075
16.9	47.6530
17	47.7192
17.1	50.8362
17.2	48.0831
17.3	48.6857
17.4	46.3105
17.5	48.5017
17.6	50.7005
17.7	46.2825
17.8	48.2758
17.9	51.1190
18	47.4170
18.1	48.9169
18.2	48.1162
18.3	49.1513
18.4	46.8327
18.5	45.8463
18.6	54.4413
18.7	50.6277
18.8	48.0185
18.9	47.8112
19	47.0977
19.1	49.6457
19.2	50.3749
19.3	45.6624
19.4	50.1348
19.5	47.7934
19.6	50.0332
19.7	48.0102
19.8	47.4681
19.9	48.4482
20	48.4138
20.1	48.7127
20.2	48.0697
20.3	51.4052
20.4	48.2682
20.5	48.1272
20.6	47.9610
20.7	48.6469
20.8	43.8470
20.9	45.7663
21	46.7947
21.1	47.0004
21.2	45.1335
21.3	43.8134
21.4	51.5683
21.5	45.7958
21.6	44.2323
21.7	47.0304
21.8	45.8857
21.9	45.6235
22	45.6940
22.1	42.2435
22.2	45.1314
22.3	47.7688
22.4	42.1208
22.5	47.2011
22.6	41.8849
22.7	43.7935
22.8	46.3932
22.9	45.5875
23	42.9651
23.1	40.0100
23.2	41.3129
23.3	40.5505
23.4	38.7641
23.5	42.9844
23.6	40.7150
23.7	42.3395
23.8	40.3211
23.9	43.7582
24	38.9392
24.1	38.8678
24.2	45.6770
24.3	40.9280
24.4	39.4255
24.5	39.0243
24.6	40.0415
24.7	39.5258
24.8	41.3991
24.9	41.6055
25	38.6370
25.1	36.8501
25.2	38.6512
25.3	34.5683
25.4	39.8908
25.5	36.8677
25.6	39.8090
25.7	40.0115
25.8	35.9944
25.9	36.2282
26	36.5451
26.1	39.2433
26.2	32.7792
26.3	33.6563
26.4	38.3725
26.5	35.2593
26.6	36.6389
26.7	34.3331
26.8	29.8479
26.9	31.9966
27	35.2068
27.1	31.2462
27.2	35.0348
27.3	32.4937
27.4	32.7068
27.5	32.4364
27.6	29.4313
27.7	28.8383
27.8	33.6017
27.9	32.4494
28	29.7389
28.1	26.7541
28.2	30.6667
28.3	32.2941
28.4	26.6599
28.5	26.3184
28.6	28.2354
28.7	28.3828
28.8	25.1156
28.9	27.4011
29	28.3635
29.1	29.1620
29.2	24.7008
29.3	24.8481
29.4	26.4404
29.5	29.8947
29.6	26.7061
29.7	24.6070
29.8	24.6252
29.9	23.0380
30	24.8980
30.1	23.3739
30.2	24.1004
30.3	19.8462
30.4	24.8969
30.5	21.9492
30.6	19.8520
30.7	21.8640
30.8	24.8801
30.9	19.7403
31	21.5106
31.1	19.4801
31.2	20.0071
31.3	17.7605
31.4	14.3908
31.5	18.8201
31.6	18.9618
31.7	18.1239
31.8	14.5646
31.9	16.7293
32	15.8134
32.1	13.3794
32.2	12.1379
32.3	11.9195
32.4	15.4759
32.5	15.2999
32.6	15.7568
32.7	11.5927
32.8	11.0918
32.9	16.1175
33	8.9893
33.1	13.5066
33.2	12.7016
33.3	8.6573
33.4	8.9084
33.5	10.5950
33.6	10.2150
33.7	7.4105
33.8	10.7195
33.9	8.5644
34	10.7772
34.1	7.2406
34.2	5.7662
34.3	7.4493
34.4	5.6546
34.5	7.7040
34.6	8.0459
34.7	5.5266
34.8	6.3114
34.9	1.9310
35	4.3016
35.1	3.4687
35.2	1.1402
35.3	-0.4410
35.4	0.9160
35.5	3.0267
35.6	1.7615
35.7	-0.0591
35.8	-0.2015
35.9	2.5725
36	4.4702
36.1	3.3557
36.2	-5.0111
36.3	-3.6361
36.4	-2.8928
36.5	-1.1054
36.6	-1.3776
36.7	-1.7453
36.8	-2.3587
36.9	-1.7783
37	-5.2443
37.1	-5.7520
37.2	-6.8314
37.3	-5.3483
37.4	-4.4531
37.5	-2.9868
37.6	-6.2209
37.7	-5.2081
37.8	-9.1029
37.9	-8.4282
38	-1.6649
38.1	-8.0215
38.2	-10.0593
38.3	-10.1865
38.4	-8.0216
38.5	-8.2161
38.6	-11.0357
38.7	-10.4093
38.8	-12.1993
38.9	-7.8999
39	-11.1152
39.1	-12.6531
39.2	-12.1552
39.3	-12.3518
39.4	-13.1569
39.5	-13.1675
39.6	-18.6013
39.7	-19.6112
39.8	-16.0589
39.9	-15.3763
40	-17.9567
40.1	-20.6960
40.2	-13.0328
40.3	-15.8589
40.4	-14.7652
40.5	-16.4437
40.6	-18.2476
40.7	-17.7371
40.8	-20.0719
40.9	-21.7500
41	-19.5712
41.1	-18.9587
41.2	-18.8738
41.3	-20.4022
41.4	-21.9721
41.5	-20.7772
41.6	-22.5714
41.7	-22.4937
41.8	-19.7805
41.9	-22.8145
42	-24.8729
42.1	-23.6863
42.2	-24.9428
42.3	-24.9990
42.4	-24.2707
42.5	-26.5195
42.6	-25.9249
42.7	-23.9366
42.8	-24.1392
42.9	-22.9556
43	-25.8083
43.1	-29.3266
43.2	-26.9466
43.3	-26.3627
43.4	-26.3791
43.5	-26.7477
43.6	-27.8133
43.7	-28.9129
43.8	-26.7925
43.9	-26.9123
44	-28.8825
44.1	-29.3762
44.2	-31.1622
44.3	-30.9963
44.4	-31.8712
44.5	-29.9561
44.6	-29.9584
44.7	-33.7734
44.8	-35.0858
44.9	-28.0411
45	-34.5773
45.1	-36.9558
45.2	-35.2823
45.3	-31.1326
45.4	-35.7571
45.5	-32.9942
45.6	-35.3876
45.7	-35.9149
45.8	-32.6304
45.9	-32.6841
46	-36.4364
46.1	-35.6770
46.2	-36.9279
46.3	-35.2296
46.4	-31.7632
46.5	-33.0033
46.6	-30.5777
46.7	-35.0369
46.8	-36.2800
46.9	-39.4782
47	-37.4879
47.1	-34.0778
47.2	-34.6117
47.3	-37.1691
47.4	-38.0880
